"","Sigla","Orientador","Ano do Doutorado"
"1","UFPA-A-5-CC","O-1",2003
"2","UFPA-A-5-CC","O-2",2018
"3","UFPA-A-5-CC","O-3",2017
"4","UFPA-A-5-CC","O-4",2017
"5","UFPA-A-5-CC","O-5",2008
"6","UFPA-A-5-CC","O-6",2012
"7","UFPA-A-5-CC","O-7",2007
"8","UFPA-A-5-CC","O-8",2019
"9","UFPA-A-5-CC","O-9",2019
"10","UFPA-A-5-CC","O-10",2008
"11","UFPA-A-5-CC","O-11",2010
"12","UFPA-A-5-CC","O-12",2014
"13","UFPA-A-5-CC","O-13",2011
"14","UFPA-A-5-CC","O-14",2016
"15","UFPA-A-5-CC","O-15",2014
"16","UFPA-A-5-CC","O-16",2017
"17","UFPA-A-5-CC","O-17",2018
"18","UFPA-A-5-CC","O-18",2011
"19","UFPA-A-5-CC","O-19",2018
"20","UFPA-A-5-CC","O-20",2013
"21","UFPA-A-5-CC","O-21",2015
"22","UFPA-A-5-CC","O-22",2010
"23","UFPA-A-5-CC","O-23",2015
"24","UFPA-A-5-CC","O-24",2008
"25","UFPA-A-5-CC","O-25",2005
"26","UFPA-A-5-CC","O-26",2015
"27","UFPA-A-5-CC","O-27",2009
"28","UFPA-A-5-CC","O-28",2001
"29","UFPA-A-5-CC","O-29",2003
"30","UFBA-A-5-CC","O-1",2010
"31","UFBA-A-5-CC","O-2",2011
"32","UFBA-A-5-CC","O-3",2016
"33","UFBA-A-5-CC","O-4",2016
"34","UFBA-A-5-CC","O-5",2013
"35","UFBA-A-5-CC","O-6",2005
"36","UFBA-A-5-CC","O-7",2006
"37","UFBA-A-5-CC","O-8",2016
"38","UFBA-A-5-CC","O-9",2011
"39","UFBA-A-5-CC","O-10",2010
"40","UFBA-A-5-CC","O-11",2012
"41","UFBA-A-5-CC","O-12",1997
"42","UFBA-A-5-CC","O-13",2003
"43","UFBA-A-5-CC","O-14",2009
"44","UFBA-A-5-CC","O-15",2016
"46","UFBA-A-5-CC","O-16",2022
"47","UFBA-A-5-CC","O-17",2010
"48","UFBA-A-5-CC","O-18",1988
"49","UFBA-A-5-CC","O-19",2014
"50","UFBA-A-5-CC","O-20",2019
"51","UFBA-A-5-CC","O-21",2013
"52","UFBA-A-5-CC","O-22",2001
"53","UFBA-A-5-CC","O-23",1996
"54","UFBA-A-5-CC","O-24",2008
"56","UFBA-A-5-CC","O-25",2013
"57","UFBA-A-5-CC","O-26",2019
"58","UFBA-A-5-CC","O-27",2008
"59","UFBA-A-5-CC","O-28",2007
"60","UFBA-A-5-CC","O-29",1983
"61","UFBA-A-5-CC","O-30",2012
"62","UFBA-A-5-CC","O-31",2004
"64","UFBA-A-5-CC","O-32",2004
"65","UFBA-A-5-CC","O-33",2009
"94","UFPEL-A-5-C","O-1",2023
"95","UFPEL-A-5-C","O-2",2012
"96","UFPEL-A-5-C","O-3",2008
"97","UFPEL-A-5-C","O-4",2013
"98","UFPEL-A-5-C","O-5",2015
"99","UFPEL-A-5-C","O-6",2022
"100","UFPEL-A-5-C","O-7",2012
"101","UFPEL-A-5-C","O-8",2010
"102","UFPEL-A-5-C","O-9",2017
"103","UFPEL-A-5-C","O-10",2002
"104","UFPEL-A-5-C","O-11",2004
"105","UFPEL-A-5-C","O-12",2012
"106","UFPEL-A-5-C","O-13",2008
"107","UFPEL-A-5-C","O-14",2017
"108","UFPEL-A-5-C","O-15",2010
"109","UFPEL-A-5-C","O-16",2009
"110","UFPEL-A-5-C","O-17",2010
"111","UFPEL-A-5-C","O-18",2004
"112","UFPEL-A-5-C","O-19",2004
"113","UFPEL-A-5-C","O-20",2004
"114","UFPEL-A-5-C","O-21",2007
"115","UFPEL-A-5-C","O-22",1999
"116","UFPEL-A-5-C","O-23",2015
"117","UFPEL-A-5-C","O-24",2020
"118","UFPEL-A-5-C","O-25",2012
"119","UFPEL-A-5-C","O-26",2008
"120","UFPEL-A-5-C","O-27",2006
"121","UFPEL-A-5-C","O-28",2008
"122","UFPEL-A-5-C","O-29",2007
"66","UFSC-A-5-CC","O-1",2017
"67","UFSC-A-5-CC","O-2",1996
"68","UFSC-A-5-CC","O-3",2010
"69","UFSC-A-5-CC","O-4",2014
"70","UFSC-A-5-CC","O-5",2011
"71","UFSC-A-5-CC","O-6",2014
"72","UFSC-A-5-CC","O-7",2002
"73","UFSC-A-5-CC","O-8",2014
"74","UFSC-A-5-CC","O-9",2000
"75","UFSC-A-5-CC","O-10",2000
"76","UFSC-A-5-CC","O-11",1999
"77","UFSC-A-5-CC","O-12",2002
"78","UFSC-A-5-CC","O-13",1999
"79","UFSC-A-5-CC","O-14",2012
"80","UFSC-A-5-CC","O-15",2017
"81","UFSC-A-5-CC","O-16",2000
"82","UFSC-A-5-CC","O-17",1998
"83","UFSC-A-5-CC","O-18",2012
"84","UFSC-A-5-CC","O-19",2018
"85","UFSC-A-5-CC","O-20",1998
"86","UFSC-A-5-CC","O-21",2016
"87","UFSC-A-5-CC","O-22",2008
"88","UFSC-A-5-CC","O-23",2017
"89","UFSC-A-5-CC","O-24",2003
"90","UFSC-A-5-CC","O-25",2001
"91","UFSC-A-5-CC","O-26",2016
"92","UFSC-A-5-CC","O-27",1991
"93","UFSC-A-5-CC","O-28",2019
"123","UNB-A-5-I","O-1",1999
"124","UNB-A-5-I","O-2",2007
"125","UNB-A-5-I","O-3",1993
"126","UNB-A-5-I","O-4",2016
"127","UNB-A-5-I","O-5",2017
"128","UNB-A-5-I","O-6",2007
"129","UNB-A-5-I","O-7",2017
"130","UNB-A-5-I","O-8",1993
"131","UNB-A-5-I","O-9",2008
"132","UNB-A-5-I","O-10",2010
"133","UNB-A-5-I","O-11",2016
"134","UNB-A-5-I","O-12",2019
"135","UNB-A-5-I","O-13",2016
"136","UNB-A-5-I","O-14",2006
"137","UNB-A-5-I","O-15",2016
"138","UNB-A-5-I","O-16",2007
"139","UNB-A-5-I","O-17",1996
"140","UNB-A-5-I","O-18",2008
"141","UNB-A-5-I","O-19",2012
"142","UNB-A-5-I","O-20",2011
"143","UNB-A-5-I","O-21",2012
"144","UNB-A-5-I","O-22",2009
"145","UNB-A-5-I","O-23",2008
"146","UNB-A-5-I","O-24",2010
"147","UNB-A-5-I","O-25",2018
"148","UNB-A-5-I","O-26",2004
"149","UNB-A-5-I","O-27",1994
"150","UNB-A-5-I","O-28",2010
"151","UNB-A-5-I","O-29",2009
"152","UNB-A-5-I","O-30",1996
"153","UNB-A-5-I","O-31",2004
"154","UNB-A-5-I","O-32",1996
